gene_id,disease_id,molecule_a,molecule_b,type_a,type_b,host_organism,positive_interaction
163,1,ccl20_human_gene,HNF4A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
164,1,ccl20_human_gene,REL,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
165,1,ccl21_human_gene,TCF4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
166,1,ccl21_human_gene,WT1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
167,1,ccl23_human_gene,NR2F6,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
168,1,ccl23_human_gene,SPIB,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
169,1,ccl23_human_gene,SPIC,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
170,1,ccl24_human_gene,NR1I2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
171,1,ccl24_human_gene,NR2F6,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
172,1,ccl24_human_gene,SPIB,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
173,1,ccl24_human_gene,SPIC,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
174,1,ccl27_human_gene,KLF17,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
175,1,ccl27_human_gene,PPARG,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
176,1,ccl27_human_gene,RBPJ,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
177,1,ccl27_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
178,1,ccl27_human_gene,TFAP2B,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
179,1,ccl27_human_gene,TFAP2E,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
180,1,ccl27_human_gene,ZNF18,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
181,1,ccl28_human_gene,KLF12,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
182,1,ccl28_human_gene,KLF2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
183,1,ccl28_human_gene,KLF4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
184,1,ccl28_human_gene,NR2F6,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
185,1,ccl28_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
186,1,ccl2_human_gene,ELF2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
187,1,ccl2_human_gene,ETV1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
188,1,ccl2_human_gene,ETV7,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
189,1,ccl2_human_gene,GABPA,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
190,1,ccl2_human_gene,ZIC1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
191,1,ccl2_human_gene,ZIC3,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
192,1,ccl3_human_gene,EBF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
193,1,ccl3_human_gene,TGIF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
194,1,cl3l1_human_gene,EBF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
195,1,csf2_human_gene,EBF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
196,1,csf2_human_gene,NR1I2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
197,1,csf2_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
198,1,cxcl17_human_gene,EBF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
199,1,cxcl17_human_gene,ZIC1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
200,1,cxcl17_human_gene,ZIC3,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
201,1,cxcl2_human_gene,NR1I2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
202,1,cxcl3_human_gene,KLF15,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
203,1,cxcl3_human_gene,KLF2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
204,1,cxcl3_human_gene,KLF4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
205,1,cxcl3_human_gene,NR2F6,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
206,1,cxcl3_human_gene,REL,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
207,1,cxcl5_human_gene,SOX14,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
208,1,cxcl5_human_gene,WT1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
209,1,cxcl5_human_gene,ZNF281,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
210,1,cxcl9_human_gene,LCOR,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
211,1,cxcl9_human_gene,NFYC,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
212,1,cxcl9_human_gene,RBPJ,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
213,1,cxl10_human_gene,REL,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
214,1,cxl10_human_gene,SOX14,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
215,1,ifn10_human_gene,HNF4A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
216,1,ifn10_human_gene,IRF2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
217,1,ifn10_human_gene,LCOR,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
218,1,ifn10_human_gene,POU2F2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
219,1,ifn10_human_gene,POU3F1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
220,1,ifn16_human_gene,HNF4A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
221,1,ifn16_human_gene,NR2F6,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
222,1,ifn16_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
223,1,ifn17_human_gene,HNF4A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
224,1,ifn21_human_gene,IRF2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
225,1,ifn21_human_gene,POU2F2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
226,1,ifna2_human_gene,SPIB,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
227,1,ifna2_human_gene,SPIC,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
228,1,ifna4_human_gene,POU2F2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
229,1,ifna4_human_gene,POU3F1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
230,1,ifna6_human_gene,LCOR,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
231,1,ifna7_human_gene,IRF2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
232,1,ifna7_human_gene,MAFG,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
233,1,ifna8_human_gene,HNF4A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
234,1,ifna8_human_gene,NR2F6,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
235,1,ifng_human_gene,EBF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
236,1,ifnl3_human_gene,EBF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
237,1,ifnl3_human_gene,ZIC3,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
238,1,il10_human_gene,MAFB,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
239,1,il10_human_gene,MAFF,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
240,1,il10_human_gene,MAFG,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
241,1,il10_human_gene,NRL,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
242,1,il10_human_gene,PLAGL1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
243,1,il10_human_gene,PLAGL2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
244,1,il10_human_gene,ZNF710,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
245,1,il12b_human_gene,NR2F6,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
246,1,il12b_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
247,1,il16_human_gene,MLX,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
248,1,il16_human_gene,TCF4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
249,1,il17_human_gene,NR2F6,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
250,1,il17_human_gene,RORC,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
251,1,il17f_human_gene,PPARA,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
252,1,il17f_human_gene,PPARG,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
253,1,il17f_human_gene,RORC,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
254,1,il18_human_gene,SPIB,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
255,1,il18_human_gene,SPIC,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
256,1,il1ra_human_gene,KLF12,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
257,1,il1ra_human_gene,SP4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
258,1,il1ra_human_gene,WT1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
259,1,il20_human_gene,NR1I2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
260,1,il20_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
261,1,il22_human_gene,MAFF,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
262,1,il22_human_gene,MAFG,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
263,1,il22_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
264,1,il25_human_gene,LCOR,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
265,1,il25_human_gene,NR1I2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
266,1,il25_human_gene,POU2F2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
267,1,il25_human_gene,PPARG,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
268,1,il25_human_gene,RORC,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
269,1,il26_human_gene,RORC,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
270,1,il31_human_gene,KLF12,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
271,1,il31_human_gene,KLF2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
272,1,il31_human_gene,KLF4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
273,1,il32_human_gene,EBF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
274,1,il32_human_gene,HNF4A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
275,1,il32_human_gene,KLF12,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
276,1,il32_human_gene,KLF2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
277,1,il32_human_gene,KLF4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
278,1,il32_human_gene,NR1I2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
279,1,il32_human_gene,REL,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
280,1,il32_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
281,1,il32_human_gene,ZBTB7A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
282,1,il32_human_gene,ZBTB7B,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
283,1,il36b_human_gene,EBF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
284,1,il3_human_gene,EBF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
285,1,il3_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
286,1,il7_human_gene,KLF4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
287,1,il7_human_gene,NR2F6,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
288,1,il8_human_gene,MAFG,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
289,1,il8_human_gene,REL,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
290,1,il8_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
291,1,kitlg_human_gene,KLF3,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
292,1,kitlg_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
293,1,kitlg_human_gene,TFAP2C,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
294,1,tn13b_human_gene,IRF2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
295,1,tnf10_human_gene,IRF2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
296,1,tnf10_human_gene,KLF15,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
297,1,tnf10_human_gene,KLF7,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
298,1,tnf18_human_gene,MAFG,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
299,1,tnfsf8_human_gene,KLF10,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
300,1,erbb2_human_gene-1,Hsp83,gene,protein,Drosophila melanogaster Schneider 2 late embryo cell,1
301,1,NKX2-1,srbp2_human_gene,protein,gene,Homo sapiens NCI-H441 distal lung epithelial cell,1
302,1,NKX2-1,tm245_human_gene,protein,gene,Homo sapiens NCI-H441 distal lung epithelial cell,1
303,1,mir-494,SUZ12,gene,protein,Homo sapiens Ramos Burkitt's lymphoma cell,1
304,1,abcbb_human_gene,NR1H4,gene,protein,Homo sapiens liver,1
305,1,abcbb_human_gene,PPARGC1A,gene,protein,Homo sapiens liver,1
306,1,AFF4,myc_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
