gene_id,disease_id,molecule_a,molecule_b,type_a,type_b,host_organism,positive_interaction
1216,2,il7ra_human_gene,MAFB,gene,protein,Homo sapiens mononuclear cell,1
1217,2,il8_human_gene,CEBPB,gene,protein,Homo sapiens conjunctival epithelium,1
1218,2,il8_human_gene,JUN,gene,protein,Homo sapiens conjunctival epithelium,1
1219,2,IRF1,foxp3_human_gene,protein,gene,Homo sapiens T-cell,1
1220,2,IRF4,caspa_human_gene,protein,gene,Homo sapiens UTMC2 monoclonal plasma cell,1
1221,2,IRF5,tnfa_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1222,2,irx3_human_gene,NFKBIA,gene,protein,Homo sapiens keratinocyte,1
1223,2,JMJD6,dmap1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1224,2,JMJD6,kat5_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1225,2,JUN,il8_human_gene,protein,gene,Homo sapiens Chang liver cell,1
1226,2,JUN,nox5_human_gene,protein,gene,Homo sapiens thoracic aorta smooth muscle cell,1
1227,2,JUN,pa24a_human_gene,protein,gene,Homo sapiens Type II pulmonary alveolar epithelial cell,1
1228,2,JUN,stim1_human_gene,protein,gene,Homo sapiens HLMVEC lung microvascular endothelial cell,1
1229,2,JUN,tnf15_human_gene,protein,gene,Homo sapiens mononuclear cell,1
1230,2,JUN,x3cl1_human_gene,protein,gene,Homo sapiens thoracic aorta smooth muscle cell,1
1231,2,jun_human_gene,MYC,gene,protein,Homo sapiens A172 glioblastoma cell,1
1232,2,JUNB,ccr4_human_gene,protein,gene,Homo sapiens adult T-cell lymphoma cell,1
1233,2,JUND,sox4_human_gene,protein,gene,Homo sapiens CD4+ T-cell,1
1234,2,JUND,sox4_human_gene,protein,gene,Homo sapiens HuT 102 peripheral blood cutaneous T-cell lymphoma cell,1
1235,2,KAT2B,fas_human_gene,protein,gene,Homo sapiens M059JK glioblastoma cell,1
1236,2,kat5_human_gene,BRD4,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
1237,2,KAT6A,hoxa5_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1238,2,KAT6A,hoxa5_human_gene,protein,gene,Homo sapiens peripheral blood mononuclear cell,1
1239,2,KAT6A,hoxa9_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1240,2,KDM2B,cdkn1b_human_gene,protein,gene,Homo sapines SU-DHL-6 large cell lymphoma cell,1
1241,2,kdm3a_human_gene,EP300,gene,protein,Homo sapiens 22rv1 cell,1
1242,2,klf4_human_gene,SPI1,gene,protein,Homo sapiens,1
1243,2,KLF6,il8_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1244,2,klk3_human_gene,XRCC5,gene,protein,Homo sapiens RWPE1 epithelial cell,1
1245,2,klk3_human_gene,XRCC6,gene,protein,Homo sapiens RWPE1 epithelial cell,1
1246,2,KMT2A,cdkn1b_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1247,2,KMT2A,msx2_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1248,2,KSR1,cdk4_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1249,2,lef1_human_gene,CTNNB1,gene,protein,Homo sapiens MD11 glioblastoma cell,1
1250,2,lef1_human_gene,CTNNB1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1251,2,lef1_human_gene,TCF7L2,gene,protein,Homo sapiens MD11 glioblastoma cell,1
1252,2,lef1_human_gene,TCF7L2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1253,2,leg1_human_gene,P19838-PRO_0000030311,gene,protein,Homo sapiens peripheral blood mononuclear cell,1
1254,2,LEO1,hoxa9_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1255,2,lyam2_mouse_gene,RELA,gene,protein,Mus musculus embryonic fibroblasts,1
1256,2,mdm2_human_gene,BRD7,gene,protein,Homo sapiens BJ foreskin fibroblast cell,1
1257,2,mdm2_human_gene,MYCN,gene,protein,Homo sapiens SK-N-DZ neuroblastoma cell,1
1258,2,MED1,podxl_human_gene,protein,gene,Homo sapiens HGEC glomerular endothelial cell,1
1259,2,MED26,hsp70_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1260,2,MED26,myc_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1261,2,mlf2_human_gene,JMJD6,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
1262,2,mmp3_human_gene,STAT3,gene,protein,Homo sapiens brain microvascular endothelium,1
1263,2,mmp9_human_gene,MAFB,gene,protein,Homo sapiens mononuclear cell,1
1264,2,mmp9_human_gene,RELA,gene,protein,Homo sapiens U251 glioma cell,1
1265,2,msx2_human_gene,PPIE,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
1266,2,msx2_human_gene,Q03164-PRO_0000390949,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
1267,2,MTDH,il8_human_gene,protein,gene,Homo sapiens H4 neurogioma cell,1
1268,2,MYC,cdk4_human_gene,protein,gene,Homo sapiens P493-6 B-cell,1
1269,2,MYC,hes1_human_gene,protein,gene,Homo sapiens P493-6 B-cell,1
1270,2,myc_human_gene,AFF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1271,2,myc_human_gene,ELL,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1272,2,myc_human_gene,FOXM1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1273,2,myc_human_gene,MLLT3,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1274,2,myc_human_gene,MYB,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
1275,2,myc_human_gene,POLR2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1276,2,MYCN,apex1_mouse_gene,protein,gene,Mouse Neuroblastoma,1
1277,2,MYCN,apr_human_gene,protein,gene,Homo sapiens KELLY neuroblastoma cell,1
1278,2,MYCN,apr_human_gene,protein,gene,Homo sapiens SK-N-DZ neuroblastoma cell,1
1279,2,MYCN,mdm2_human_gene,protein,gene,Homo sapiens KELLY neuroblastoma cell,1
1280,2,MYCN,mir17hg_human_gene,protein,gene,Homo sapiens KELLY neuroblastoma cell,1
1281,2,MYCN,mir17hg_human_gene,protein,gene,Homo sapiens SK-N-DZ neuroblastoma cell,1
1282,2,mycn_human_gene,CHD7,gene,protein,Homo sapiens neuronal precursor/neural stem progenitor,1
1283,2,Ncor1,pdk4_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1284,2,NCOR1,tf65_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1285,2,NCOR2,abcbb_human_gene,protein,gene,Homo sapiens Huh7 hepatoma cell,1
1286,2,necd_human_gene,CHD7,gene,protein,Homo sapiens neuronal precursor/neural stem progenitor,1
1287,2,necd_human_gene,SOX2,gene,protein,Homo sapiens neuronal precursor/neural stem progenitor,1
1288,2,NFATC1,icam1_human_gene,protein,gene,Homo sapiens umbilical vein endotheliium,1
1289,2,NFATC1,nkx23_human_gene,protein,gene,Homo sapiens B cell,1
1290,2,NFIX,chi3l1_human_gene,protein,gene,Homo sapiens U373 glioblastoma astrocytoma cell,1
1291,2,NFKBIA,hbx5_human_gene,protein,gene,Homo sapiens keratinocyte,1
1292,2,NFKBIA,hxb2_human_gene,protein,gene,Homo sapiens keratinocyte,1
1293,2,NFKBIZ,il6_human_gene,protein,gene,Homo sapiens decidua,1
1294,2,notc1_human_gene,CREM,gene,protein,Homo sapiens T-cell,1
1295,2,nox5_human_gene,STAT3,gene,protein,Homo sapiens thoracic aorta smooth muscle cell,1
1296,2,nr0b1_human_gene,ASAH1,gene,protein,Homo sapiens H295R adrenocortical cell,1
1297,2,nr0b1_human_gene,NR5A1,gene,protein,Homo sapiens H295R adrenocortical cell,1
1298,2,NR0B2,abcbb_human_gene,protein,gene,Homo sapiens Huh7 hepatoma cell,1
1299,2,NR3C1,il10_human_gene,protein,gene,Homo sapiens TERT-E6/E7 adipose mesenchymal cell,1
1300,2,NR3C1,il12b_human_gene,protein,gene,Homo sapiens TERT-E6/E7 adipose mesenchymal cell,1
1301,2,NR3C1,il12b_human_gene,protein,gene,Homo sapiens TERT-E6/E7 adipose mesenchymal cell,1
1302,2,NR4A1,ccnd2_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1303,2,nr4a2_human_gene,NR5A1,gene,protein,Homo sapiens H295R adrenocortical cell,1
1304,2,nucl_human_gene,MYC,gene,protein,Homo sapiens P493-6 B-cell,1
1305,2,nucl_human_gene,SIN3B,gene,protein,Homo sapiens P493-6 B-cell,1
1306,2,P19838-PRO_0000030311,bambi_human_gene,protein,gene,Homo sapiens hepatic stellate cell,1
1307,2,P19838-PRO_0000030311,ifnl1_human_gene,protein,gene,Homo sapiens BEAS-2B bronchial epithelial cell,1
1308,2,P19838-PRO_0000030311,tnf15_human_gene,protein,gene,Homo sapiens mononuclear cell,1
1309,2,pa24a_human_gene,EP300,gene,protein,Homo sapiens Type II pulmonary alveolar epithelial cell,1
1310,2,pa24a_human_gene,FOS,gene,protein,Homo sapiens Type II pulmonary alveolar epithelial cell,1
1311,2,PARP1,fas_human_gene,protein,gene,Homo sapiens M059JK glioblastoma cell,1
1312,2,PARP1,klk3_human_gene,protein,gene,Homo sapiens RWPE1 epithelial cell,1
1313,2,PARP1,pla1a_human_gene,protein,gene,Homo sapiens RWPE1 epithelial cell,1
1314,2,PARP1,tmps2_human_gene,protein,gene,Homo sapiens RWPE1 epithelial cell,1
1315,2,PCGF1,cdkn1b_human_gene,protein,gene,Homo sapines SU-DHL-6 large cell lymphoma cell,1
1316,2,pckcg_human_gene,ZNF746,gene,protein,Homo sapiens SH-SY5Y cell,1
1317,2,pdk4_human_gene,ESRRA,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
1318,2,pdk4_human_gene,PPARGC1A,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
1319,2,pe2r4_human_gene,SP1,gene,protein,Homo sapiens T98G caucasian glioblastoma cell,1
1320,2,pla1a_human_gene,ERG,gene,protein,Homo sapiens RWPE1 epithelial cell,1
1321,2,pla1a_human_gene,XRCC5,gene,protein,Homo sapiens RWPE1 epithelial cell,1
1322,2,pla1a_human_gene,XRCC6,gene,protein,Homo sapiens RWPE1 epithelial cell,1
1323,2,PML-RAR,ab1ip_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
1324,2,PML-RAR,csf3r_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
1325,2,PML-RAR,fes_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
1326,2,PML-RAR,fril_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
1327,2,PML-RAR,hck_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
1328,2,PML-RAR,psb10_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
1329,2,PML-RAR,tnr18_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
1330,2,podxl_human_gene,H4C16,gene,protein,Homo sapiens HGEC glomerular endothelial cell,1
1331,2,podxl_human_gene,VDR,gene,protein,Homo sapiens HGEC glomerular endothelial cell,1
1332,2,POLR2A,casp7_human_gene,protein,gene,Homo sapiens T98G caucasian glioblastoma cell,1
1333,2,POLR2A,ccna2_human_gene,protein,gene,Homo sapiens T98G caucasian glioblastoma cell,1
1334,2,POLR2A,g3p_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1335,2,polr2k_human_gene,FOXK1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
1336,2,POU5F1,lfty1_human_gene,protein,gene,Homo sapiens ES embryonic stem cell,1
1337,2,POU5F1,po5f1_human_gene,protein,gene,Homo sapiens ES embryonic stem cell,1
1338,2,POU5F1,sox17_human_gene,protein,gene,Homo sapiens ES embryonic stem cell,1
1339,2,PPIE,hoxa9_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1340,2,PRDM1,ifnl1_human_gene,protein,gene,Homo sapiens BEAS-2B bronchial epithelial cell,1
1341,2,prdm1_human_gene,BCL6,gene,protein,Homo sapiens B cell,1
1342,2,prdm1_human_gene,BCOR,gene,protein,Homo sapiens B cell,1
1343,2,prgc1_human_gene,ZNF746,gene,protein,Homo sapiens brain,1
1344,2,Q00653-PRO_0000030322,ifnl1_human_gene,protein,gene,Homo sapiens BEAS-2B bronchial epithelial cell,1
1345,2,Q03164-PRO_0000390949,cdkn1b_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1346,2,rarb_human_gene,PML-RAR,gene,protein,Homo sapiens U937-PR9 pro-monocytic cell,1
1347,2,RB1,casp7_human_gene,protein,gene,Homo sapiens T98G caucasian glioblastoma cell,1
1348,2,RB1,tp73_human_gene,protein,gene,Homo sapiens IMR-90 embryonic fetal lung fibroblast cell,1
1349,2,RB1,tp73_human_gene,protein,gene,Homo sapiens T98G caucasian glioblastoma cell,1
1350,2,REL,ifnl1_human_gene,protein,gene,Homo sapiens BEAS-2B bronchial epithelial cell,1
1351,2,RELA,ccnd1_human_gene,protein,gene,Homo sapiens U251 glioma cell,1
1352,2,RELA,cxcl2_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1353,2,RELA,ifnl1_human_gene,protein,gene,Homo sapiens BEAS-2B bronchial epithelial cell,1
1354,2,RELA,il12b_human_gene,protein,gene,Homo sapiens TERT-E6/E7 adipose mesenchymal cell,1
1355,2,RELA,il6_human_gene,protein,gene,Homo sapiens HEK293FT embryonic kidney cell,1
1356,2,RELA,nod2_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1357,2,RELA,stim1_human_gene,protein,gene,Homo sapiens HLMVEC lung microvascular endothelial cell,1
1358,2,RELA,vegfa_human_gene,protein,gene,Homo sapiens U251 glioma cell,1
1359,2,rl3_human_gene,SIRT6,gene,protein,Homo sapiens H1 embryonic stem cell,1
1360,2,RNF2,cdkn1b_human_gene,protein,gene,Homo sapines SU-DHL-6 large cell lymphoma cell,1
1361,2,rnls_human_gene,SP1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
1362,2,rnls_human_gene,STAT3,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
1363,2,RORA,st2a1_human_gene,protein,gene,Homo sapiens Huh7 hepatoma cell,1
1364,2,RORC,st2a1_human_gene,protein,gene,Homo sapiens Huh7 hepatoma cell,1
1365,2,rpl22_human_gene,FOXK1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
1366,2,RPRD1B,ccnd1_human_gene,protein,gene,Homo sapiens colonic cancer tissue,1
1367,2,rs15a_human_gene,SIRT6,gene,protein,Homo sapiens H1 embryonic stem cell,1
1368,2,runx1_human_gene,CDC73,gene,protein,Homo sapiens peripheral blood mononuclear cell,1
1369,2,runx1_human_gene,CDK9,gene,protein,Homo sapiens peripheral blood mononuclear cell,1
1370,2,RXRA,co1a1_human_gene,protein,gene,Homo sapiens LX-2 hepatic stellate cell,1
1371,2,RXRA,fril_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
1372,2,RXRA,pld1_human_gene,protein,gene,Homo sapiens HaCaT keratinocyte cell,1
1373,2,RXRA,rarb_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
1374,2,s5a1_human_gene,MYC,gene,protein,Homo sapiens P493-6 B-cell,1
1375,2,s5a1_human_gene,SIN3B,gene,protein,Homo sapiens P493-6 B-cell,1
1376,2,SIN3B,cdk4_human_gene,protein,gene,Homo sapiens P493-6 B-cell,1
1377,2,SIN3B,hes1_human_gene,protein,gene,Homo sapiens P493-6 B-cell,1
1378,2,SIRT1,gli1_human_gene,protein,gene,Homo sapiens DAOY cerebellar medulloblastoma cell,1
1379,2,SIRT1,gli2_human_gene,protein,gene,Homo sapiens DAOY cerebellar medulloblastoma cell,1
1380,2,SIRT1,hes5_human_gene,protein,gene,Homo sapiens DAOY cerebellar medulloblastoma cell,1
1381,2,SIRT6,rl23_human_gene,protein,gene,Homo sapiens H1 embryonic stem cell,1
1382,2,SIRT6,rl6_huma_gene,protein,gene,Homo sapiens H1 embryonic stem cell,1
1383,2,SMAD3,lfty1_human_gene,protein,gene,Homo sapiens ES embryonic stem cell,1
1384,2,SMAD3,po5f1_human_gene,protein,gene,Homo sapiens ES embryonic stem cell,1
1385,2,SMAD3,zeb2_human_gene,protein,gene,Homo sapiens MCF10a non-transformed breast epithelial cell,1
1386,2,SMAD4,nkx25_human_gene,protein,gene,Homo sapiens ES embryonic stem cell,1
1387,2,SMAD4,tbx6_human_gene,protein,gene,Homo sapiens ES embryonic stem cell,1
1388,2,SMARCA2,il6_human_gene,protein,gene,Homo sapiens HEK293FT embryonic kidney cell,1
1389,2,SNAI1,fos_human_gene,protein,gene,Homo sapiens HMLE mammary epithelial cell,1
1390,2,sox17_human_gene,POU5F1,gene,protein,Homo sapiens ES embryonic stem cell,1
1391,2,sox17_human_gene,POU5F1,gene,protein,Homo sapiens IPS induced pluripotent stem cell,1
1392,2,SOX2,jag1_human_gene,protein,gene,Homo sapiens neuronal precursor/neural stem progenitor,1
1393,2,SOX2,mycn_human_gene,protein,gene,Homo sapiens neuronal precursor/neural stem progenitor,1
1394,2,sox2_human_gene,SMARCC1,gene,protein,Homo sapiens diploid fibroblast,1
1395,2,sox2_human_gene,SS18,gene,protein,Homo sapiens diploid fibroblast,1
1396,2,sox4_human_gene,JUND,gene,protein,Homo sapiens ST1 adult T cell lymphoma cell,1
1397,2,SP1,ccng2_human_gene,protein,gene,Homo sapiens SK-N-BE(2) neuroblastoma cell,1
1398,2,SP1,co1a1_human_gene,protein,gene,Homo sapiens LX-2 hepatic stellate cell,1
1399,2,SP1,nox5_human_gene,protein,gene,Homo sapiens thoracic aorta smooth muscle cell,1
1400,2,Sp3,prkra_human_gene,protein,gene,In vitro,1
1401,2,SP6,sphk1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1402,2,SPI1,ab1ip_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
1403,2,SPI1,csf3r_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
1404,2,SPI1,fes_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
1405,2,SPI1,fril_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
1406,2,SPI1,hck_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
1407,2,SPI1,psb10_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
1408,2,SPI1,tnr18_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
1409,2,spi1_human_gene,PML-RAR,gene,protein,Homo sapiens U937-PR9 pro-monocytic cell,1
1410,2,SYT-SSX1,sox2_human_gene,protein,gene,Homo sapiens diploid fibroblast,1
1411,2,st2a1_human_gene,NR1I3,gene,protein,Homo sapiens Huh7 hepatoma cell,1
1412,2,star_human_gene,ASAH1,gene,protein,Homo sapiens H295R adrenocortical cell,1
1413,2,star_human_gene,CEBPB,gene,protein,Homo sapiens TERT-E6/E7 adipose mesenchymal cell,1
1414,2,STAT1,egln3_human_gene,protein,gene,Homo sapiens umbilical vein endotheliium,1
1415,2,STAT1,nox5_human_gene,protein,gene,Homo sapiens thoracic aorta smooth muscle cell,1
1416,2,STAT1,x3cl1_human_gene,protein,gene,Homo sapiens thoracic aorta smooth muscle cell,1
1417,2,STAT3,chi3l1_human_gene,protein,gene,Homo sapiens U373 glioblastoma astrocytoma cell,1
1418,2,STAT3,il10_human_gene,protein,gene,Homo sapiens TERT-E6/E7 adipose mesenchymal cell,1
1419,2,STAT3,mafb_human_gene,protein,gene,Homo sapiens mononuclear cell,1
1420,2,Stat3,mmp3_human_gene,protein,gene,Homo sapiens brain microvascular endothelium,1
1421,2,STAT5B,fosl2_human_gene,protein,gene,Homo sapiens T-lymphoblast,1
1422,2,stim1_human_gene,FOS,gene,protein,Homo sapiens HLMVEC lung microvascular endothelial cell,1
1423,2,SUZ12,cdkn1b_human_gene,protein,gene,Homo sapines SU-DHL-6 large cell lymphoma cell,1
1424,2,taf12_human_gene,FOXK1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
1425,2,TBP,myc_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1426,2,TCF7L2,axin2_human_gene,protein,gene,Homo sapiens MD11 glioblastoma cell,1
1427,2,tgif1_human_gene,CTNNB1,gene,protein,Homo sapiens HMLE mammary epithelial cell,1
1428,2,tgif1_human_gene,TCF7L2,gene,protein,Homo sapiens HMLE mammary epithelial cell,1
1429,2,tmps2_human_gene,XRCC5,gene,protein,Homo sapiens RWPE1 epithelial cell,1
1430,2,tmps2_human_gene,XRCC6,gene,protein,Homo sapiens RWPE1 epithelial cell,1
1431,2,tnfa_human_gene,IRF5,gene,protein,Homo sapiens monocyte-derived dendritic cell,1
1432,2,tnfa_human_gene,POLR2A,gene,protein,Homo sapiens monocyte-derived dendritic cell,1
1433,2,TOP2B,fas_human_gene,protein,gene,Homo sapiens M059JK glioblastoma cell,1
1434,2,TP73,hist1h2bj_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1435,2,tp73_human_gene,POLR2A,gene,protein,Homo sapiens T98G caucasian glioblastoma cell,1
1436,2,TRIM33,runx1_human_gene,protein,gene,Homo sapiens peripheral blood mononuclear cell,1
1437,2,TWIST1,fosl1_human_gene,protein,gene,Homo sapiens HMLE mammary epithelial cell,1
1438,2,UBN1,ccna2_human_gene,protein,gene,Homo sapiens IMR-90 embryonic fetal lung fibroblast cell,1
1439,2,UBN1,ccna2_human_gene,protein,gene,Homo sapiens IMR-90 embryonic fetal lung fibroblast cell,1
1440,2,VDR,co1a1_human_gene,protein,gene,Homo sapiens LX-2 hepatic stellate cell,1
1441,2,VDR,pld1_human_gene,protein,gene,Homo sapiens HaCaT keratinocyte cell,1
1442,2,x3cl1_human_gene,RELA,gene,protein,Homo sapiens thoracic aorta smooth muscle cell,1
1443,2,x3cl1_human_gene,STAT3,gene,protein,Homo sapiens thoracic aorta smooth muscle cell,1
1444,2,XRCC5,fkbp5_human_gene,protein,gene,Homo sapiens RWPE1 epithelial cell,1
1445,2,YAP1,1433s_human_gene,protein,gene,Homo sapiens MCF10a non-transformed breast epithelial cell,1
1446,2,ZC3H18,brca2_human_gene,protein,gene,Homo sapiens HEK293flp-in embryonic kidney cell,1
1447,2,ZC3H18,g3p_human_gene,protein,gene,Homo sapiens HEK293flp-in embryonic kidney cell,1
1448,2,ZC3H18,i3l3r6_human_gene,protein,gene,Homo sapiens HEK293flp-in embryonic kidney cell,1
1449,2,ZC3H18,kras_human_gene,protein,gene,Homo sapiens HEK293flp-in embryonic kidney cell,1
1450,2,ZC3H18,psmd3_human_gene,protein,gene,Homo sapiens HEK293flp-in embryonic kidney cell,1
1451,2,ZC3H18,rnu12_human_gene,protein,gene,Homo sapiens HEK293flp-in embryonic kidney cell,1
1452,2,ZC3H18,rt15_human_gene,protein,gene,Homo sapiens HEK293flp-in embryonic kidney cell,1
1453,2,ZC3H18,ru2b_human_gene,protein,gene,Homo sapiens HEK293flp-in embryonic kidney cell,1
1454,2,ZC3H18,znhi3_human_gene,protein,gene,Homo sapiens HEK293flp-in embryonic kidney cell,1
1455,2,ZNF148,rnls_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1456,2,ZNF746,g6pc_human_gene,protein,gene,Homo sapiens SH-SY5Y cell,1
1457,2,ZNF746,g6pc_human_gene,protein,gene,Homo sapiens brain,1
1458,2,ZNF746,pckcg_human_gene,protein,gene,Homo sapiens brain,1
1459,2,ZNF746,prgc1_human_gene,protein,gene,Homo sapiens SH-SY5Y cell,1
1460,3,cdkn1a_human_gene,TP53,gene,protein,Homo sapiens mammary epithelium,1
1461,3,cdkn1a_human_gene,TP53,gene,protein,Homo sapiens BJ foreskin fibroblast cell,1
1462,3,TP53,cdkn1a_human_gene,protein,gene,In vitro,1
1463,3,TP53,cdkn1a_human_gene,protein,gene,Homo sapiens,1
1464,3,TP53,cdkn1a_human_gene,protein,gene,Homo sapiens,1
1465,3,AR,klk3_human_gene,protein,gene,Homo sapiens prostate tissue,1
1466,3,RELA,ikba_human_gene,protein,gene,In vitro,1
1467,3,RELA,ikba_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
1468,3,RELA,ikba_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1469,3,il8_human_gene,RELA,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
1470,3,il8_human_gene,RELA,gene,protein,Homo sapiens H4 neurogioma cell,1
1471,3,il8_human_gene,RELA,gene,protein,Homo sapiens Chang liver cell,1
1472,3,il8_human_gene,RELA,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
1473,3,RELA,il8_human_gene,protein,gene,Homo sapiens conjunctival epithelium,1
1474,3,RELA,il8_human_gene,protein,gene,Homo sapiens Chang liver cell,1
1475,3,RELA,il8_human_gene,protein,gene,Homo sapiens conjunctival epithelium,1
1476,3,GCM1,htra4_human_gene,protein,gene,In vitro,1
1477,3,GCM1,htra4_human_gene,protein,gene,In vitro,1
1478,3,GCM1,htra4_human_gene,protein,gene,In vitro,1
1479,3,htra4_human_gene,GCM1,gene,protein,In vitro,1
1480,3,htra4_human_gene,GCM1,gene,protein,In vitro,1
1481,3,foxp3_human_gene,H4C16,gene,protein,Homo sapiens CD4+ T-cell,1
1482,3,foxp3_human_gene,H4C16,gene,protein,Homo sapiens regulatory T-lymphocyte,1
1483,3,foxp3_human_gene,H4C16,gene,protein,Homo sapiens CD4+ T-cell,1
1484,3,foxp3_human_gene,H4C16,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
1485,3,HIF1A,vegfa_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
1486,3,HIF1A,vegfa_human_gene,protein,gene,Homo sapiens SMMC7721 hepatoma cell,1
1487,3,hoxa9_human_gene,KMT2A,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
1488,3,hoxa9_human_gene,KMT2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1489,3,hoxa9_human_gene,KMT2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
1490,3,vegfa_human_gene,HIF1A,gene,protein,Homo sapiens SMMC7721 hepatoma cell,1
1491,3,mmp1_human_gene,JUN,gene,protein,Homo sapiens diploid fibroblast,1
1492,3,mmp1_human_gene,JUN,gene,protein,In vitro,1
1493,3,mmp1_human_gene,JUN,gene,protein,Homo sapiens diploid fibroblast,1
1494,3,irf1_human_gene,STAT1,gene,protein,Homo sapiens CD4+ T-cell,1
1495,3,irf1_human_gene,STAT1,gene,protein,In vitro,1
1496,3,mdm2_human_gene,TP53,gene,protein,Homo sapiens BJ foreskin fibroblast cell,1
1497,3,RELA,birc3_human_gene,protein,gene,Homo sapiens U251 glioma cell,1
1498,3,RELA,birc3_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
1499,3,bim_human_gene,FOXO3,gene,protein,In vitro,1
1500,3,htra4_human_gene,htra4_human_gene,gene,gene,In vitro,1
1501,3,htra4_human_gene,htra4_human_gene,gene,gene,In vitro,1
1502,3,PARP1,brca2_human_gene,protein,gene,In vitro,1
1503,3,PARP1,brca2_human_gene,protein,gene,In vitro,1
1504,3,PARP1,brca2_human_gene,protein,gene,In vitro,1
1505,3,fkbp5_human_gene,ERG,gene,protein,Homo sapiens RWPE1 epithelial cell,1
